ArraySize,Hits,HitPercent
10000,3,0.12
60000,5,0.20
110000,34,1.36
160000,37,1.48
210000,62,2.48
260000,56,2.24
310000,75,3.00
360000,94,3.76
410000,103,4.12
460000,117,4.68
510000,126,5.04
560000,140,5.60
610000,129,5.16
660000,148,5.92
710000,160,6.40
760000,169,6.76
810000,201,8.04
860000,201,8.04
910000,196,7.84
960000,211,8.44
1010000,240,9.60
1060000,257,10.28
1110000,279,11.16
1160000,288,11.52
1210000,310,12.40
1260000,286,11.44
1310000,334,13.36
1360000,324,12.96
1410000,299,11.96
1460000,371,14.84
1510000,332,13.28
1560000,365,14.60
1610000,386,15.44
1660000,380,15.20
1710000,386,15.44
1760000,367,14.68
1810000,390,15.60
1860000,410,16.40
1910000,451,18.04
1960000,456,18.24
2010000,497,19.88
2060000,456,18.24
2110000,479,19.16
2160000,514,20.56
2210000,510,20.40
2260000,497,19.88
2310000,546,21.84
2360000,519,20.76
2410000,565,22.60
2460000,521,20.84
2510000,521,20.84
2560000,573,22.92
2610000,569,22.76
2660000,547,21.88
2710000,577,23.08
2760000,635,25.40
2810000,636,25.44
2860000,609,24.36
2910000,614,24.56
2960000,617,24.68
3010000,635,25.40
3060000,658,26.32
3110000,647,25.88
3160000,656,26.24
3210000,701,28.04
3260000,672,26.88
3310000,701,28.04
3360000,767,30.68
3410000,729,29.16
3460000,749,29.96
3510000,771,30.84
3560000,724,28.96
3610000,791,31.64
3660000,757,30.28
3710000,828,33.12
3760000,793,31.72
3810000,812,32.48
3860000,831,33.24
3910000,852,34.08
3960000,839,33.56
4010000,867,34.68
4060000,821,32.84
4110000,837,33.48
4160000,845,33.80
4210000,837,33.48
4260000,904,36.16
4310000,849,33.96
4360000,882,35.28
4410000,893,35.72
4460000,929,37.16
4510000,917,36.68
4560000,911,36.44
4610000,944,37.76
4660000,941,37.64
4710000,932,37.28
4760000,942,37.68
4810000,965,38.60
4860000,907,36.28
4910000,995,39.80
4960000,924,36.96
