Vertices,Edges,Time_Taken
500,124750,0.018023300000095333
1000,499500,0.054833700000017416
1500,1124250,0.11421179999979358
2000,1999000,0.1778706000004604
2500,3123750,0.303905499999928
3000,4498500,0.49269249999997555
3500,6123250,0.6926826999997502
4000,7998000,0.8485786000001099
4500,10122750,0.9863469000001714
5000,12497500,1.160442200000034
5500,15122250,1.4104440999999497
6000,17997000,1.6279048000005787
6500,21121750,2.280979400000433
7000,24496500,2.1036690999999337
