n,Time
100,0.0015889999999672
200,0.00644910000028176
300,0.014363499999944906
400,0.02603880000015124
500,0.04526979999991454
600,0.06337020000000848
700,0.08490440000014132
800,0.10946749999993699
900,0.14431520000016462
1000,0.1787808999997651
1100,0.2225281000000905
1200,0.2553484000000026
1300,0.3069771000000401
1400,0.351977799999986
1500,0.41385799999989104
1600,0.45842270000002827
1700,0.5253271999999924
1800,0.5764877999999953
1900,0.6495151999997688
2000,0.720686200000273
