Vertices,Time_taken
100,0.0011283999999704974
200,0.004525100000137172
300,0.009744899999986956
400,0.01779609999994136
500,0.028153700000075332
600,0.041222800000014104
700,0.058168499999965206
800,0.06975660000011885
900,0.09067019999997683
1000,0.11719240000002173
1100,0.14026239999998324
1200,0.16805700000008983
1300,0.19615520000002107
1400,0.22395449999999073
1500,0.25641300000006595
1600,0.290474500000073
1700,0.33422799999993913
1800,0.3742624999999862
1900,0.4154413999999633
2000,0.4648787999999513
