ArraySize,Misses,MissPercent
10000,1978,98.90
20000,1956,97.80
30000,1934,96.70
40000,1922,96.10
50000,1908,95.40
60000,1891,94.55
70000,1859,92.95
80000,1839,91.95
90000,1844,92.20
100000,1815,90.75
110000,1783,89.15
120000,1774,88.70
130000,1777,88.85
140000,1745,87.25
150000,1715,85.75
160000,1694,84.70
170000,1689,84.45
180000,1658,82.90
190000,1654,82.70
200000,1592,79.60
210000,1624,81.20
220000,1612,80.60
230000,1589,79.45
240000,1567,78.35
250000,1560,78.00
260000,1538,76.90
270000,1569,78.45
280000,1543,77.15
290000,1515,75.75
300000,1501,75.05
310000,1475,73.75
320000,1469,73.45
330000,1467,73.35
340000,1452,72.60
350000,1416,70.80
360000,1409,70.45
370000,1348,67.40
380000,1382,69.10
390000,1365,68.25
400000,1357,67.85
410000,1348,67.40
420000,1315,65.75
430000,1311,65.55
440000,1284,64.20
450000,1256,62.80
460000,1258,62.90
470000,1254,62.70
480000,1246,62.30
490000,1220,61.00
500000,1190,59.50
