ArraySize,AvgFoundIndex
10000,3991.73
20000,9777.57
30000,13713.79
40000,20221.41
50000,26727.58
60000,33688.22
70000,35312.86
80000,40282.78
90000,39115.20
100000,46669.80
110000,51333.04
120000,56209.32
130000,68606.87
140000,70562.94
150000,70527.72
160000,76525.92
170000,77677.29
180000,87523.78
190000,93857.69
200000,96564.24
210000,104841.28
220000,102430.51
230000,107694.02
240000,118559.76
250000,124625.91
260000,135265.60
270000,125566.20
280000,133188.44
290000,139319.00
300000,138274.25
310000,149674.62
320000,154052.44
330000,160505.89
340000,153198.98
350000,163781.31
360000,164394.50
370000,176934.58
380000,176579.84
390000,177780.82
400000,186896.70
410000,194178.08
420000,186645.61
430000,190133.26
440000,206451.78
450000,208186.58
460000,210675.04
470000,217344.94
480000,225456.16
490000,234062.52
500000,231823.28
