ArraySize,AvgTime
10000,0.0000073452
20000,0.0000149911
30000,0.0000222704
40000,0.0000345909
50000,0.0000384269
60000,0.0000462277
70000,0.0000533563
80000,0.0000585428
90000,0.0000710000
100000,0.0000713775
110000,0.0000770348
120000,0.0000839963
130000,0.0000918560
140000,0.0000989613
150000,0.0001043779
160000,0.0001086528
170000,0.0001151220
180000,0.0001200670
190000,0.0001282275
200000,0.0001331369
210000,0.0001418640
220000,0.0001457645
230000,0.0001517713
240000,0.0001610303
250000,0.0001643019
260000,0.0001699842
270000,0.0001766177
280000,0.0001859919
290000,0.0001850958
300000,0.0002014024
310000,0.0002011572
320000,0.0002047466
330000,0.0002124036
340000,0.0002083201
350000,0.0002213882
360000,0.0002318044
370000,0.0002265812
380000,0.0002362164
390000,0.0002489599
400000,0.0002467998
410000,0.0002545398
420000,0.0002535121
430000,0.0002584471
440000,0.0002645322
450000,0.0002678614
460000,0.0002798615
470000,0.0002841771
480000,0.0002882012
490000,0.0002904640
500000,0.0002906359
