ArraySize,AvgTime
10000,0.0000072725
15000,0.0000112470
20000,0.0000149955
25000,0.0000188552
30000,0.0000223386
35000,0.0000262066
40000,0.0000311428
45000,0.0000353934
50000,0.0000395143
55000,0.0000418031
60000,0.0000445019
65000,0.0000483921
70000,0.0000522654
75000,0.0000546307
80000,0.0000590788
85000,0.0000620682
90000,0.0000692899
95000,0.0000727190
100000,0.0000743741
105000,0.0000800053
110000,0.0000840804
115000,0.0000848363
120000,0.0000861959
125000,0.0000918290
130000,0.0000933624
135000,0.0000966953
140000,0.0001003405
145000,0.0001044587
150000,0.0001082796
155000,0.0001107000
160000,0.0001172231
165000,0.0001228409
170000,0.0001177977
175000,0.0001256845
180000,0.0001273250
185000,0.0001326094
190000,0.0001319086
195000,0.0001392171
200000,0.0001421039
205000,0.0001444985
210000,0.0001525355
215000,0.0001492015
220000,0.0001546358
225000,0.0001583342
230000,0.0001722687
235000,0.0001673635
240000,0.0001704028
245000,0.0001728770
250000,0.0001728618
255000,0.0001785769
260000,0.0001791525
265000,0.0001916531
270000,0.0001939048
275000,0.0001987630
280000,0.0001989634
285000,0.0002001612
290000,0.0002023816
295000,0.0002164910
300000,0.0002192933
305000,0.0002199991
310000,0.0002204247
315000,0.0002156801
320000,0.0002289831
325000,0.0002239136
330000,0.0002263060
335000,0.0002261415
340000,0.0002315525
345000,0.0002367236
350000,0.0002416685
355000,0.0002411936
360000,0.0002471311
365000,0.0002488300
370000,0.0002533041
375000,0.0002548475
380000,0.0002575679
385000,0.0002648019
390000,0.0002654656
395000,0.0002693135
400000,0.0002717718
405000,0.0002775282
410000,0.0002752122
415000,0.0002816366
420000,0.0002900679
425000,0.0002867966
430000,0.0002847618
435000,0.0002931853
440000,0.0003016414
445000,0.0003022116
450000,0.0003046683
455000,0.0003028649
460000,0.0003130288
465000,0.0003095830
470000,0.0003167256
475000,0.0003144692
480000,0.0003199829
485000,0.0003258525
490000,0.0003279448
495000,0.0003275475
500000,0.0003299200
505000,0.0003370727
510000,0.0003387028
515000,0.0003396936
520000,0.0003442933
525000,0.0003505006
530000,0.0003502165
535000,0.0003512208
540000,0.0003606754
545000,0.0003592494
550000,0.0003575894
555000,0.0003644151
560000,0.0003710232
565000,0.0003723935
570000,0.0003748739
575000,0.0003706159
580000,0.0003778249
585000,0.0003770225
590000,0.0003783202
595000,0.0003860646
600000,0.0003878952
605000,0.0003912155
610000,0.0003957167
615000,0.0004009359
620000,0.0003993801
625000,0.0004046530
630000,0.0004065145
635000,0.0004027603
640000,0.0004124744
645000,0.0004171479
650000,0.0004157786
655000,0.0004187273
660000,0.0004274642
665000,0.0004269895
670000,0.0004287754
675000,0.0004308282
680000,0.0004368562
685000,0.0004314047
690000,0.0004316764
695000,0.0004415418
700000,0.0004470973
705000,0.0004437728
710000,0.0004495947
715000,0.0004459052
720000,0.0004519931
725000,0.0004572094
730000,0.0004637387
735000,0.0004616508
740000,0.0004657128
745000,0.0004728228
750000,0.0004734217
755000,0.0004804019
760000,0.0004771979
765000,0.0004830721
770000,0.0004812951
775000,0.0004824829
780000,0.0004892518
785000,0.0004960375
790000,0.0004857361
795000,0.0004893858
800000,0.0004919700
805000,0.0005002115
810000,0.0004972589
815000,0.0004951038
820000,0.0005034470
825000,0.0005036722
830000,0.0005066607
835000,0.0005221546
840000,0.0005106946
845000,0.0005192542
850000,0.0005263747
855000,0.0005197554
860000,0.0005223185
865000,0.0005254884
870000,0.0005296517
875000,0.0005296591
880000,0.0005360578
885000,0.0005336630
890000,0.0005463311
895000,0.0005313054
900000,0.0005495105
905000,0.0005516824
910000,0.0005524104
915000,0.0005571262
920000,0.0005616245
925000,0.0005610680
930000,0.0005588706
935000,0.0005621712
940000,0.0005606486
945000,0.0005602267
950000,0.0005679740
955000,0.0005709783
960000,0.0005774449
965000,0.0005725726
970000,0.0005794929
975000,0.0005812877
980000,0.0005769052
985000,0.0005801165
990000,0.0005845354
995000,0.0005905662
1000000,0.0006068014
