ArraySize,Hits,HitPercent
10000,17,0.57
15000,23,0.77
20000,29,0.97
25000,54,1.80
30000,51,1.70
35000,44,1.47
40000,62,2.07
45000,72,2.40
50000,55,1.83
55000,68,2.27
60000,78,2.60
65000,112,3.73
70000,121,4.03
75000,120,4.00
80000,115,3.83
85000,123,4.10
90000,150,5.00
95000,126,4.20
100000,131,4.37
105000,164,5.47
110000,168,5.60
115000,182,6.07
120000,172,5.73
125000,160,5.33
130000,187,6.23
135000,185,6.17
140000,192,6.40
145000,188,6.27
150000,173,5.77
155000,230,7.67
160000,211,7.03
165000,213,7.10
170000,256,8.53
175000,245,8.17
180000,261,8.70
185000,266,8.87
190000,261,8.70
195000,243,8.10
200000,281,9.37
205000,305,10.17
210000,308,10.27
215000,340,11.33
220000,301,10.03
225000,317,10.57
230000,292,9.73
235000,351,11.70
240000,353,11.77
245000,340,11.33
250000,340,11.33
255000,349,11.63
260000,366,12.20
265000,361,12.03
270000,411,13.70
275000,364,12.13
280000,362,12.07
285000,376,12.53
290000,391,13.03
295000,368,12.27
300000,407,13.57
305000,360,12.00
310000,408,13.60
315000,456,15.20
320000,397,13.23
325000,425,14.17
330000,478,15.93
335000,450,15.00
340000,484,16.13
345000,478,15.93
350000,449,14.97
355000,488,16.27
360000,492,16.40
365000,501,16.70
370000,524,17.47
375000,536,17.87
380000,524,17.47
385000,517,17.23
390000,509,16.97
395000,528,17.60
400000,535,17.83
405000,538,17.93
410000,578,19.27
415000,561,18.70
420000,542,18.07
425000,603,20.10
430000,586,19.53
435000,569,18.97
440000,574,19.13
445000,590,19.67
450000,601,20.03
455000,659,21.97
460000,577,19.23
465000,658,21.93
470000,613,20.43
475000,658,21.93
480000,637,21.23
485000,606,20.20
490000,672,22.40
495000,637,21.23
500000,728,24.27
505000,687,22.90
510000,688,22.93
515000,672,22.40
520000,691,23.03
525000,655,21.83
530000,719,23.97
535000,693,23.10
540000,672,22.40
545000,701,23.37
550000,756,25.20
555000,729,24.30
560000,723,24.10
565000,718,23.93
570000,757,25.23
575000,777,25.90
580000,762,25.40
585000,773,25.77
590000,806,26.87
595000,781,26.03
600000,799,26.63
605000,790,26.33
610000,793,26.43
615000,772,25.73
620000,788,26.27
625000,776,25.87
630000,826,27.53
635000,855,28.50
640000,827,27.57
645000,822,27.40
650000,828,27.60
655000,843,28.10
660000,815,27.17
665000,846,28.20
670000,838,27.93
675000,862,28.73
680000,832,27.73
685000,917,30.57
690000,872,29.07
695000,861,28.70
700000,888,29.60
705000,933,31.10
710000,910,30.33
715000,961,32.03
720000,942,31.40
725000,917,30.57
730000,925,30.83
735000,896,29.87
740000,945,31.50
745000,895,29.83
750000,935,31.17
755000,919,30.63
760000,987,32.90
765000,929,30.97
770000,933,31.10
775000,965,32.17
780000,956,31.87
785000,966,32.20
790000,1012,33.73
795000,1009,33.63
800000,1028,34.27
805000,963,32.10
810000,1022,34.07
815000,1035,34.50
820000,1005,33.50
825000,1055,35.17
830000,1031,34.37
835000,981,32.70
840000,1079,35.97
845000,1014,33.80
850000,980,32.67
855000,1077,35.90
860000,1064,35.47
865000,1076,35.87
870000,1059,35.30
875000,1098,36.60
880000,1110,37.00
885000,1107,36.90
890000,1051,35.03
895000,1112,37.07
900000,1013,33.77
905000,1066,35.53
910000,1057,35.23
915000,1074,35.80
920000,1078,35.93
925000,1118,37.27
930000,1127,37.57
935000,1116,37.20
940000,1130,37.67
945000,1188,39.60
950000,1122,37.40
955000,1157,38.57
960000,1167,38.90
965000,1155,38.50
970000,1153,38.43
975000,1135,37.83
980000,1175,39.17
985000,1188,39.60
990000,1192,39.73
995000,1191,39.70
1000000,1185,39.50
