Size,Avg_Time_ms
10000,3.391394999971453
20000,7.8609550001147
30000,12.146759999995993
40000,18.14069499996549
50000,22.287719999940236
60000,27.976295000007667
70000,35.42639999986932
80000,47.94769500008442
90000,53.71676000008847
100000,68.00938499995937
110000,72.43298499997763
120000,73.41164500007835
130000,81.65686999986974
140000,85.95028499994442
150000,93.47883000000365
160000,101.82061499995143
170000,111.27516000001378
180000,117.75012500015691
190000,125.93990000023041
200000,134.77643000005628
