Total_Activities,Selected_Activities
1000,56.0
2000,80.4
3000,96.0
4000,117.2
5000,124.4
6000,138.6
7000,150.8
8000,158.4
9000,171.4
10000,179.2
11000,183.4
12000,189.4
13000,204.8
14000,211.2
15000,221.2
16000,224.6
17000,234.4
18000,236.8
19000,239.0
20000,248.2
