ArraySize,Hits,Misses,HitPercent,AvgTime,AvgFoundIndex
1880000,3527,36473,8.82,0.0000001867,936517.58
1885000,3441,36559,8.60,0.0000001893,944978.13
1890000,3446,36554,8.62,0.0000001856,934327.88
1895000,3501,36499,8.75,0.0000001993,928523.93
1900000,3502,36498,8.76,0.0000001938,941575.25
1905000,3516,36484,8.79,0.0000001959,952189.14
1910000,3569,36431,8.92,0.0000001889,948952.74
1915000,3643,36357,9.11,0.0000002016,948551.40
1920000,3524,36476,8.81,0.0000001891,942688.72
1925000,3614,36386,9.04,0.0000002153,949662.08
1930000,3676,36324,9.19,0.0000001896,957906.95
1935000,3692,36308,9.23,0.0000001933,962913.63
1940000,3669,36331,9.17,0.0000001870,964121.74
1945000,3733,36267,9.33,0.0000001906,958289.60
1950000,3524,36476,8.81,0.0000001958,962184.54
1955000,3718,36282,9.29,0.0000001954,984122.61
1960000,3679,36321,9.20,0.0000001879,967197.82
1965000,3743,36257,9.36,0.0000001910,980058.90
1970000,3682,36318,9.21,0.0000002052,982732.20
1975000,3792,36208,9.48,0.0000002139,984014.46
1980000,3706,36294,9.26,0.0000001901,991271.64
1985000,3744,36256,9.36,0.0000001927,970283.75
1990000,3715,36285,9.29,0.0000001960,992488.94
1995000,3757,36243,9.39,0.0000001906,1005902.02
2000000,3722,36278,9.30,0.0000002085,1005504.69
2005000,3688,36312,9.22,0.0000001989,985604.15
2010000,3759,36241,9.40,0.0000002118,983938.79
2015000,3686,36314,9.21,0.0000001945,1008037.09
2020000,3772,36228,9.43,0.0000002079,1003376.19
2025000,3750,36250,9.38,0.0000001984,1014279.69
2030000,3694,36306,9.23,0.0000001984,1009020.24
2035000,3826,36174,9.56,0.0000001995,1007077.72
2040000,3834,36166,9.59,0.0000001923,1017228.28
2045000,3746,36254,9.37,0.0000001903,1021807.70
2050000,3879,36121,9.70,0.0000002044,1027764.60
2055000,3760,36240,9.40,0.0000001993,1027176.02
2060000,3851,36149,9.63,0.0000001907,1024713.69
2065000,3773,36227,9.43,0.0000002028,1023884.46
2070000,3922,36078,9.80,0.0000001953,1032095.75
2075000,3925,36075,9.81,0.0000001942,1037039.26
2080000,3978,36022,9.95,0.0000001913,1030891.84
2085000,3978,36022,9.95,0.0000001985,1029392.47
2090000,3927,36073,9.82,0.0000001947,1043088.01
2095000,3875,36125,9.69,0.0000001965,1020967.29
2100000,3943,36057,9.86,0.0000002009,1037129.10
2105000,3900,36100,9.75,0.0000001937,1056619.84
2110000,3959,36041,9.90,0.0000001980,1044017.98
2115000,4010,35990,10.03,0.0000001958,1046450.73
2120000,3990,36010,9.98,0.0000001912,1048186.92
2125000,3993,36007,9.98,0.0000001983,1081694.84
2130000,3993,36007,9.98,0.0000002066,1063345.98
2135000,4067,35933,10.17,0.0000002024,1068771.28
2140000,3952,36048,9.88,0.0000001987,1053247.57
2145000,3950,36050,9.88,0.0000001960,1072652.52
2150000,3965,36035,9.91,0.0000002021,1080917.27
2155000,4028,35972,10.07,0.0000002094,1070231.07
2160000,4083,35917,10.21,0.0000001955,1076685.85
2165000,3975,36025,9.94,0.0000002244,1068118.84
2170000,4180,35820,10.45,0.0000001990,1064604.55
2175000,4114,35886,10.29,0.0000001984,1092554.14
2180000,4085,35915,10.21,0.0000001981,1085772.96
2185000,4093,35907,10.23,0.0000001963,1081295.52
2190000,4059,35941,10.15,0.0000001996,1094046.74
2195000,4141,35859,10.35,0.0000001941,1099127.09
2200000,4120,35880,10.30,0.0000001978,1098328.94
2205000,4098,35902,10.24,0.0000001975,1086580.22
2210000,4071,35929,10.18,0.0000001948,1108343.00
2215000,4002,35998,10.01,0.0000002114,1098253.01
2220000,4149,35851,10.37,0.0000002052,1104705.32
2225000,4145,35855,10.36,0.0000002381,1108981.94
2230000,4191,35809,10.48,0.0000002026,1101722.14
2235000,4063,35937,10.16,0.0000002058,1090253.82
2240000,4125,35875,10.31,0.0000001951,1120802.60
2245000,4207,35793,10.52,0.0000001955,1137382.57
2250000,4150,35850,10.38,0.0000002069,1110041.41
2255000,4219,35781,10.55,0.0000002034,1138663.74
2260000,4222,35778,10.55,0.0000002062,1113718.50
2265000,4230,35770,10.57,0.0000002021,1130950.92
2270000,4209,35791,10.52,0.0000001987,1131080.85
2275000,4145,35855,10.36,0.0000002060,1141802.93
2280000,4204,35796,10.51,0.0000002135,1127892.56
2285000,4372,35628,10.93,0.0000002001,1133982.55
2290000,4312,35688,10.78,0.0000002036,1149224.20
2295000,4234,35766,10.59,0.0000002040,1133062.51
2300000,4267,35733,10.67,0.0000002142,1161235.29
2305000,4347,35653,10.87,0.0000002059,1157201.02
2310000,4328,35672,10.82,0.0000001982,1160570.23
2315000,4399,35601,11.00,0.0000002059,1146404.11
2320000,4299,35701,10.75,0.0000001971,1161162.08
2325000,4235,35765,10.59,0.0000002106,1162145.35
2330000,4288,35712,10.72,0.0000002005,1163381.48
2335000,4313,35687,10.78,0.0000002116,1163827.93
2340000,4315,35685,10.79,0.0000002081,1142078.72
2345000,4392,35608,10.98,0.0000001981,1168598.72
2350000,4410,35590,11.03,0.0000001967,1187957.40
2355000,4285,35715,10.71,0.0000002072,1181207.67
2360000,4356,35644,10.89,0.0000001978,1178793.99
2365000,4428,35572,11.07,0.0000002062,1185590.55
2370000,4375,35625,10.94,0.0000002119,1159748.51
2375000,4407,35593,11.02,0.0000002039,1201297.96
2380000,4418,35582,11.04,0.0000002081,1190389.08
2385000,4489,35511,11.22,0.0000002027,1186262.83
2390000,4368,35632,10.92,0.0000002146,1166666.70
2395000,4531,35469,11.33,0.0000002124,1188945.74
2400000,4513,35487,11.28,0.0000002013,1177815.69
2405000,4426,35574,11.06,0.0000002026,1189827.31
2410000,4593,35407,11.48,0.0000001970,1214310.38
2415000,4509,35491,11.27,0.0000002092,1200829.59
2420000,4413,35587,11.03,0.0000002060,1206717.41
2425000,4526,35474,11.31,0.0000002077,1204488.63
2430000,4540,35460,11.35,0.0000002118,1194122.19
2435000,4420,35580,11.05,0.0000002082,1205730.40
2440000,4477,35523,11.19,0.0000002032,1209025.82
2445000,4543,35457,11.36,0.0000002028,1233612.67
2450000,4453,35547,11.13,0.0000002011,1199202.40
2455000,4526,35474,11.31,0.0000002123,1241334.99
2460000,4665,35335,11.66,0.0000002041,1225548.83
2465000,4574,35426,11.43,0.0000002049,1211456.41
2470000,4589,35411,11.47,0.0000002071,1221149.99
2475000,4563,35437,11.41,0.0000002043,1235826.64
2480000,4641,35359,11.60,0.0000002142,1243455.86
2485000,4643,35357,11.61,0.0000002073,1215273.39
2490000,4594,35406,11.48,0.0000002097,1240674.74
2495000,4579,35421,11.45,0.0000002037,1226357.08
2500000,4604,35396,11.51,0.0000002132,1258260.31
2505000,4572,35428,11.43,0.0000002078,1244992.08
2510000,4541,35459,11.35,0.0000002073,1253777.41
2515000,4681,35319,11.70,0.0000002049,1263511.43
2520000,4587,35413,11.47,0.0000002028,1247377.43
2525000,4583,35417,11.46,0.0000002851,1267272.30
2530000,4716,35284,11.79,0.0000002124,1266131.46
2535000,4660,35340,11.65,0.0000002101,1258876.08
2540000,4724,35276,11.81,0.0000002102,1273895.59
2545000,4703,35297,11.76,0.0000002040,1263604.35
2550000,4793,35207,11.98,0.0000002050,1257244.21
2555000,4845,35155,12.11,0.0000002040,1300788.61
2560000,4793,35207,11.98,0.0000002032,1262178.29
2565000,4857,35143,12.14,0.0000002066,1267484.08
2570000,4800,35200,12.00,0.0000002102,1293458.41
2575000,4774,35226,11.94,0.0000002019,1281001.81
2580000,4862,35138,12.16,0.0000002162,1272309.26
2585000,4838,35162,12.10,0.0000002151,1287346.79
2590000,4774,35226,11.94,0.0000002027,1284105.34
2595000,4680,35320,11.70,0.0000002056,1288331.13
2600000,4754,35246,11.88,0.0000002187,1305380.17
2605000,4761,35239,11.90,0.0000002075,1306402.31
2610000,4775,35225,11.94,0.0000002153,1268172.97
2615000,4796,35204,11.99,0.0000002139,1312555.98
2620000,4875,35125,12.19,0.0000002050,1290998.15
2625000,4928,35072,12.32,0.0000002044,1298805.41
2630000,4938,35062,12.35,0.0000002099,1303680.74
2635000,4705,35295,11.76,0.0000002085,1319860.89
2640000,4905,35095,12.26,0.0000002032,1311282.70
2645000,4986,35014,12.46,0.0000002129,1327530.41
2650000,4881,35119,12.20,0.0000002065,1329104.92
2655000,4949,35051,12.37,0.0000002113,1327544.95
2660000,4816,35184,12.04,0.0000002113,1322465.97
2665000,4919,35081,12.30,0.0000002154,1327796.73
2670000,4918,35082,12.29,0.0000002175,1336001.39
2675000,4851,35149,12.13,0.0000002056,1324896.69
2680000,4940,35060,12.35,0.0000002176,1337156.56
2685000,5033,34967,12.58,0.0000002081,1346786.77
2690000,4914,35086,12.29,0.0000002112,1341257.50
2695000,4794,35206,11.98,0.0000002193,1346639.51
2700000,4915,35085,12.29,0.0000002241,1342374.93
2705000,5102,34898,12.75,0.0000002038,1358832.16
2710000,4989,35011,12.47,0.0000002327,1357315.38
2715000,4802,35198,12.01,0.0000002113,1341202.97
2720000,4981,35019,12.45,0.0000002165,1363590.58
2725000,5024,34976,12.56,0.0000002099,1367318.01
2730000,4942,35058,12.35,0.0000002084,1361030.30
2735000,5041,34959,12.60,0.0000002246,1370358.72
2740000,5085,34915,12.71,0.0000002118,1365656.84
2745000,5044,34956,12.61,0.0000002096,1387373.15
2750000,5107,34893,12.77,0.0000002177,1372805.13
2755000,5077,34923,12.69,0.0000002067,1360420.38
2760000,5082,34918,12.71,0.0000002179,1399184.28
2765000,5028,34972,12.57,0.0000002058,1368396.20
2770000,5179,34821,12.95,0.0000002098,1363963.67
2775000,4966,35034,12.41,0.0000002389,1370267.22
2780000,5007,34993,12.52,0.0000002101,1373365.17
2785000,4986,35014,12.46,0.0000002196,1372897.90
2790000,5186,34814,12.96,0.0000002082,1384328.07
2795000,5341,34659,13.35,0.0000002104,1408855.90
2800000,5110,34890,12.78,0.0000002210,1396326.15
2805000,5224,34776,13.06,0.0000002063,1409404.86
2810000,5286,34714,13.21,0.0000002098,1402781.25
2815000,5233,34767,13.08,0.0000002271,1430798.82
2820000,5169,34831,12.92,0.0000002140,1409975.52
2825000,5215,34785,13.04,0.0000002130,1422263.36
2830000,5221,34779,13.05,0.0000002142,1396451.89
2835000,5306,34694,13.26,0.0000002094,1407844.60
2840000,5252,34748,13.13,0.0000002127,1415263.60
2845000,5213,34787,13.03,0.0000002159,1427886.31
2850000,5209,34791,13.02,0.0000002120,1423037.96
2855000,5356,34644,13.39,0.0000002115,1413037.44
2860000,5328,34672,13.32,0.0000002137,1434163.46
2865000,5217,34783,13.04,0.0000002335,1442281.28
2870000,5286,34714,13.21,0.0000002139,1437159.75
2875000,5235,34765,13.09,0.0000002156,1441088.66
2880000,5225,34775,13.06,0.0000002245,1427337.95
2885000,5346,34654,13.36,0.0000002217,1421605.33
2890000,5373,34627,13.43,0.0000002168,1434736.14
2895000,5242,34758,13.11,0.0000002415,1440985.55
2900000,5131,34869,12.83,0.0000002148,1437700.99
2905000,5374,34626,13.44,0.0000003434,1432589.67
2910000,5343,34657,13.36,0.0000002190,1448157.99
2915000,5348,34652,13.37,0.0000002277,1449654.04
2920000,5416,34584,13.54,0.0000002503,1437192.40
2925000,5335,34665,13.34,0.0000002418,1459382.16
2930000,5293,34707,13.23,0.0000002168,1460167.43
2935000,5324,34676,13.31,0.0000002141,1447837.82
2940000,5490,34510,13.73,0.0000002233,1457280.98
2945000,5419,34581,13.55,0.0000002117,1474036.02
2950000,5488,34512,13.72,0.0000002117,1474591.67
2955000,5442,34558,13.61,0.0000002203,1483770.50
2960000,5419,34581,13.55,0.0000002177,1478730.11
2965000,5387,34613,13.47,0.0000002123,1478256.52
2970000,5516,34484,13.79,0.0000002172,1487276.16
2975000,5430,34570,13.58,0.0000002191,1490250.06
2980000,5411,34589,13.53,0.0000002139,1490860.01
2985000,5555,34445,13.89,0.0000002271,1495107.62
2990000,5473,34527,13.68,0.0000002391,1499388.99
2995000,5447,34553,13.62,0.0000002167,1468792.28
3000000,5455,34545,13.64,0.0000002207,1480225.84
3005000,5579,34421,13.95,0.0000002102,1503157.86
3010000,5484,34516,13.71,0.0000002261,1489208.36
3015000,5623,34377,14.06,0.0000002204,1502914.19
3020000,5566,34434,13.91,0.0000002170,1509907.04
3025000,5586,34414,13.96,0.0000002181,1507392.08
3030000,5590,34410,13.98,0.0000002288,1517691.23
3035000,5587,34413,13.97,0.0000002224,1510371.84
3040000,5427,34573,13.57,0.0000002232,1510667.02
3045000,5569,34431,13.92,0.0000002136,1506130.77
3050000,5687,34313,14.22,0.0000002208,1520564.76
3055000,5618,34382,14.04,0.0000002202,1514087.81
3060000,5544,34456,13.86,0.0000002424,1529916.96
3065000,5625,34375,14.06,0.0000002177,1547760.89
3070000,5577,34423,13.94,0.0000002166,1537497.77
3075000,5650,34350,14.12,0.0000002235,1539576.04
3080000,5682,34318,14.21,0.0000002265,1532012.32
3085000,5688,34312,14.22,0.0000002188,1547369.35
3090000,5678,34322,14.19,0.0000002153,1558566.09
3095000,5585,34415,13.96,0.0000002289,1549161.65
3100000,5733,34267,14.33,0.0000002207,1555996.91
3105000,5668,34332,14.17,0.0000002136,1541832.28
3110000,5722,34278,14.31,0.0000002140,1570200.98
3115000,5667,34333,14.17,0.0000002205,1539781.58
3120000,5770,34230,14.42,0.0000002266,1561084.93
3125000,5696,34304,14.24,0.0000002151,1559849.64
3130000,5733,34267,14.33,0.0000002127,1581580.22
3135000,5789,34211,14.47,0.0000002233,1568904.16
3140000,5790,34210,14.47,0.0000002226,1558718.54
3145000,5738,34262,14.34,0.0000002280,1572438.24
3150000,5786,34214,14.46,0.0000002303,1567149.56
3155000,5827,34173,14.57,0.0000002240,1569175.75
3160000,5773,34227,14.43,0.0000002341,1578271.49
3165000,5702,34298,14.26,0.0000002144,1586787.23
3170000,5923,34077,14.81,0.0000002191,1587136.79
3175000,5791,34209,14.48,0.0000002159,1586696.28
3180000,5799,34201,14.50,0.0000002290,1591324.00
3185000,5816,34184,14.54,0.0000002186,1577377.55
3190000,5838,34162,14.59,0.0000002830,1577780.31
3195000,5801,34199,14.50,0.0000002471,1615413.17
3200000,5903,34097,14.76,0.0000002224,1577166.09
3205000,5952,34048,14.88,0.0000002222,1569839.23
3210000,5896,34104,14.74,0.0000002230,1598669.90
3215000,5864,34136,14.66,0.0000002174,1589556.68
3220000,5865,34135,14.66,0.0000002194,1592428.36
3225000,5950,34050,14.88,0.0000002343,1599356.75
3230000,5791,34209,14.48,0.0000002220,1604581.55
3235000,5808,34192,14.52,0.0000002268,1605782.44
3240000,5947,34053,14.87,0.0000002293,1621242.36
3245000,5959,34041,14.90,0.0000002264,1617523.38
3250000,5904,34096,14.76,0.0000002207,1619368.56
3255000,5959,34041,14.90,0.0000002181,1627273.86
3260000,5908,34092,14.77,0.0000002200,1627875.42
3265000,5903,34097,14.76,0.0000002291,1634784.24
3270000,5907,34093,14.77,0.0000002405,1616885.18
3275000,5799,34201,14.50,0.0000002327,1629838.42
3280000,5854,34146,14.64,0.0000002323,1621988.36
3285000,6009,33991,15.02,0.0000002207,1655153.34
3290000,5940,34060,14.85,0.0000002313,1647433.46
3295000,6020,33980,15.05,0.0000002240,1639135.01
3300000,6045,33955,15.11,0.0000002225,1644971.54
3305000,5982,34018,14.95,0.0000002364,1649687.83
3310000,6015,33985,15.04,0.0000002267,1636323.34
3315000,5948,34052,14.87,0.0000002284,1650941.00
3320000,5980,34020,14.95,0.0000002244,1657048.52
3325000,6101,33899,15.25,0.0000002191,1646531.79
3330000,6128,33872,15.32,0.0000002278,1657082.71
3335000,5959,34041,14.90,0.0000002420,1653713.33
3340000,6068,33932,15.17,0.0000002222,1676028.60
3345000,6179,33821,15.45,0.0000002336,1675553.88
3350000,6113,33887,15.28,0.0000002267,1660137.95
3355000,6019,33981,15.05,0.0000002220,1670025.21
3360000,6291,33709,15.73,0.0000002216,1675758.94
3365000,6024,33976,15.06,0.0000002221,1675745.70
3370000,6094,33906,15.24,0.0000002362,1691942.72
3375000,5980,34020,14.95,0.0000002228,1672490.64
3380000,6097,33903,15.24,0.0000002211,1674617.15
3385000,6237,33763,15.59,0.0000002181,1667064.52
3390000,6172,33828,15.43,0.0000002206,1676472.01
3395000,6146,33854,15.37,0.0000002276,1703821.49
3400000,6082,33918,15.20,0.0000002482,1672078.63
3405000,6335,33665,15.84,0.0000002257,1670113.20
3410000,6265,33735,15.66,0.0000002358,1692978.13
3415000,6218,33782,15.54,0.0000002212,1704408.97
3420000,6254,33746,15.63,0.0000002356,1705542.79
3425000,6178,33822,15.45,0.0000002249,1693741.03
3430000,6223,33777,15.56,0.0000002274,1711401.20
3435000,6149,33851,15.37,0.0000002304,1717486.24
3440000,6167,33833,15.42,0.0000002236,1713291.76
3445000,6273,33727,15.68,0.0000002259,1727202.56
3450000,6268,33732,15.67,0.0000002244,1743485.21
3455000,6244,33756,15.61,0.0000002288,1724473.04
3460000,6304,33696,15.76,0.0000002378,1712771.51
3465000,6288,33712,15.72,0.0000002369,1733791.47
3470000,6219,33781,15.55,0.0000002289,1724200.90
3475000,6344,33656,15.86,0.0000002226,1716238.48
3480000,6346,33654,15.87,0.0000002227,1717525.42
3485000,6214,33786,15.53,0.0000002288,1753343.00
3490000,6187,33813,15.47,0.0000002336,1756403.14
3495000,6276,33724,15.69,0.0000002596,1739166.72
3500000,6416,33584,16.04,0.0000002284,1758087.06
3505000,6254,33746,15.63,0.0000002302,1742972.96
3510000,6256,33744,15.64,0.0000002309,1756388.40
3515000,6263,33737,15.66,0.0000002277,1758039.16
3520000,6376,33624,15.94,0.0000002342,1753044.03
3525000,6421,33579,16.05,0.0000002313,1747346.83
3530000,6362,33638,15.90,0.0000002535,1765151.85
3535000,6341,33659,15.85,0.0000002246,1764462.62
3540000,6441,33559,16.10,0.0000002256,1765759.78
3545000,6588,33412,16.47,0.0000002243,1743625.60
3550000,6409,33591,16.02,0.0000002415,1767855.37
3555000,6324,33676,15.81,0.0000002296,1795576.49
3560000,6500,33500,16.25,0.0000002345,1779064.44
3565000,6466,33534,16.16,0.0000002493,1765802.17
3570000,6398,33602,16.00,0.0000002346,1781280.20
3575000,6464,33536,16.16,0.0000002242,1788765.92
3580000,6430,33570,16.07,0.0000002257,1765787.73
3585000,6567,33433,16.42,0.0000002312,1791070.34
3590000,6405,33595,16.01,0.0000002252,1788698.65
3595000,6545,33455,16.36,0.0000002331,1786523.52
3600000,6412,33588,16.03,0.0000002327,1794810.28
3605000,6602,33398,16.50,0.0000002265,1803684.34
3610000,6394,33606,15.98,0.0000002392,1789638.66
3615000,6557,33443,16.39,0.0000002256,1790650.23
3620000,6443,33557,16.11,0.0000002363,1801456.35
3625000,6514,33486,16.29,0.0000002284,1840244.07
3630000,6494,33506,16.23,0.0000002325,1811276.44
3635000,6568,33432,16.42,0.0000002248,1808842.95
3640000,6669,33331,16.67,0.0000002320,1828579.87
3645000,6586,33414,16.46,0.0000002327,1838679.27
3650000,6532,33468,16.33,0.0000002266,1820531.12
3655000,6577,33423,16.44,0.0000002383,1834187.12
3660000,6577,33423,16.44,0.0000002340,1808283.54
3665000,6634,33366,16.59,0.0000002235,1830185.80
3670000,6637,33363,16.59,0.0000002559,1829444.36
3675000,6592,33408,16.48,0.0000002259,1838397.88
3680000,6717,33283,16.79,0.0000002393,1842262.92
3685000,6723,33277,16.81,0.0000002217,1860473.47
3690000,6551,33449,16.38,0.0000002258,1840139.50
3695000,6670,33330,16.68,0.0000002290,1857700.93
3700000,6824,33176,17.06,0.0000003321,1832765.29
3705000,6691,33309,16.73,0.0000002352,1855139.04
3710000,6755,33245,16.89,0.0000002650,1838700.78
3715000,6751,33249,16.88,0.0000002489,1862752.02
3720000,6787,33213,16.97,0.0000002439,1857235.49
3725000,6726,33274,16.81,0.0000002410,1883534.99
3730000,6808,33192,17.02,0.0000002315,1850231.12
3735000,6630,33370,16.57,0.0000002376,1875806.03
3740000,6773,33227,16.93,0.0000002431,1863013.40
3745000,6797,33203,16.99,0.0000002302,1878844.45
3750000,6679,33321,16.70,0.0000002356,1885352.12
3755000,6796,33204,16.99,0.0000002331,1882988.00
3760000,6774,33226,16.93,0.0000002273,1874039.18
3765000,6751,33249,16.88,0.0000002432,1867606.31
3770000,6741,33259,16.85,0.0000002522,1890881.35
3775000,6804,33196,17.01,0.0000002310,1904350.09
3780000,6794,33206,16.98,0.0000002318,1892943.26
3785000,6757,33243,16.89,0.0000002404,1909146.65
