ArraySize,Hits,Misses,HitPercent,AvgTime,AvgFoundIndex
1000,15,49985,0.03,0.0000000915,503.60
3000,40,49960,0.08,0.0000001008,1556.95
5000,49,49951,0.10,0.0000001027,2877.31
7000,80,49920,0.16,0.0000001076,3292.44
9000,103,49897,0.21,0.0000001108,4573.67
11000,141,49859,0.28,0.0000001102,5877.50
13000,164,49836,0.33,0.0000001144,6380.99
15000,200,49800,0.40,0.0000001142,7655.10
17000,215,49785,0.43,0.0000001242,8214.43
19000,254,49746,0.51,0.0000001163,9165.80
21000,257,49743,0.51,0.0000001203,10224.40
23000,282,49718,0.56,0.0000001207,10624.20
25000,317,49683,0.63,0.0000001265,12747.18
27000,309,49691,0.62,0.0000001251,14001.05
29000,375,49625,0.75,0.0000001211,14763.02
31000,402,49598,0.80,0.0000001255,15702.46
33000,402,49598,0.80,0.0000001243,17138.53
35000,455,49545,0.91,0.0000001734,17596.29
37000,496,49504,0.99,0.0000001272,18402.89
39000,476,49524,0.95,0.0000001238,19331.70
41000,530,49470,1.06,0.0000001260,20283.88
43000,534,49466,1.07,0.0000001249,22088.87
45000,559,49441,1.12,0.0000001264,23265.08
47000,582,49418,1.16,0.0000001287,23703.03
49000,598,49402,1.20,0.0000001341,24915.36
51000,639,49361,1.28,0.0000001285,25544.50
53000,634,49366,1.27,0.0000001273,27082.93
55000,678,49322,1.36,0.0000001284,28727.32
57000,698,49302,1.40,0.0000001317,29606.51
59000,768,49232,1.54,0.0000001345,29388.85
61000,767,49233,1.53,0.0000001329,30751.60
63000,768,49232,1.54,0.0000001432,31171.44
65000,772,49228,1.54,0.0000001298,32189.58
67000,840,49160,1.68,0.0000001288,33962.67
69000,884,49116,1.77,0.0000001268,35188.03
71000,905,49095,1.81,0.0000001332,34821.10
73000,914,49086,1.83,0.0000001333,36682.50
75000,913,49087,1.83,0.0000001539,37651.59
77000,967,49033,1.93,0.0000001316,38009.81
79000,951,49049,1.90,0.0000001331,39156.69
81000,1006,48994,2.01,0.0000001381,40694.20
83000,1082,48918,2.16,0.0000001330,41693.30
85000,981,49019,1.96,0.0000001350,42225.34
87000,1078,48922,2.16,0.0000001377,43576.52
89000,1024,48976,2.05,0.0000001333,44986.22
91000,1135,48865,2.27,0.0000001300,47565.89
93000,1146,48854,2.29,0.0000001298,46432.40
95000,1139,48861,2.28,0.0000001310,47876.46
97000,1217,48783,2.43,0.0000001330,47816.34
99000,1293,48707,2.59,0.0000001364,49841.59
101000,1211,48789,2.42,0.0000001321,51683.07
103000,1293,48707,2.59,0.0000001714,51694.22
105000,1277,48723,2.55,0.0000001363,52680.89
107000,1340,48660,2.68,0.0000001371,51577.93
109000,1368,48632,2.74,0.0000001367,55061.19
111000,1407,48593,2.81,0.0000001338,54957.92
113000,1377,48623,2.75,0.0000001328,56708.85
115000,1456,48544,2.91,0.0000001388,57812.30
117000,1432,48568,2.86,0.0000001335,59590.59
119000,1455,48545,2.91,0.0000001418,59561.53
121000,1505,48495,3.01,0.0000001374,60984.81
123000,1498,48502,3.00,0.0000001348,61930.46
125000,1522,48478,3.04,0.0000001427,62716.37
127000,1526,48474,3.05,0.0000001304,62945.48
129000,1516,48484,3.03,0.0000001342,65607.90
131000,1601,48399,3.20,0.0000001411,63979.72
133000,1574,48426,3.15,0.0000001409,66617.87
135000,1681,48319,3.36,0.0000001362,66490.29
137000,1691,48309,3.38,0.0000001355,69039.21
139000,1630,48370,3.26,0.0000001349,69603.36
141000,1758,48242,3.52,0.0000001340,69508.78
143000,1737,48263,3.47,0.0000001372,69044.27
145000,1775,48225,3.55,0.0000001323,72405.48
147000,1810,48190,3.62,0.0000001345,73321.85
149000,1882,48118,3.76,0.0000001389,76560.56
151000,1859,48141,3.72,0.0000001421,74037.01
153000,1846,48154,3.69,0.0000001571,76321.59
155000,1809,48191,3.62,0.0000001413,76796.71
157000,2011,47989,4.02,0.0000001344,78794.63
159000,1932,48068,3.86,0.0000001359,78985.03
161000,1951,48049,3.90,0.0000001872,82185.43
163000,2022,47978,4.04,0.0000001354,81585.12
165000,2094,47906,4.19,0.0000001375,83284.42
167000,1975,48025,3.95,0.0000001408,83378.97
169000,2118,47882,4.24,0.0000001365,84637.03
171000,2054,47946,4.11,0.0000001402,88187.75
173000,2117,47883,4.23,0.0000001375,85861.79
175000,2172,47828,4.34,0.0000001439,87916.96
177000,2209,47791,4.42,0.0000001432,88051.63
179000,2258,47742,4.52,0.0000001369,90602.24
181000,2191,47809,4.38,0.0000001370,89165.99
183000,2269,47731,4.54,0.0000001426,91016.68
185000,2271,47729,4.54,0.0000001395,93601.98
187000,2229,47771,4.46,0.0000001382,94173.19
189000,2266,47734,4.53,0.0000001404,94377.64
191000,2321,47679,4.64,0.0000001381,95923.67
193000,2317,47683,4.63,0.0000001375,97366.64
195000,2352,47648,4.70,0.0000001408,96635.75
197000,2450,47550,4.90,0.0000001403,98455.32
199000,2396,47604,4.79,0.0000001367,99121.89
201000,2393,47607,4.79,0.0000001438,100671.35
203000,2528,47472,5.06,0.0000001361,101300.35
205000,2419,47581,4.84,0.0000001401,101747.32
207000,2477,47523,4.95,0.0000001372,103761.39
209000,2520,47480,5.04,0.0000001423,104542.03
211000,2565,47435,5.13,0.0000001412,104965.53
213000,2538,47462,5.08,0.0000001547,106009.60
215000,2730,47270,5.46,0.0000001413,107937.18
217000,2657,47343,5.31,0.0000001463,109591.63
219000,2697,47303,5.39,0.0000001439,108945.89
221000,2699,47301,5.40,0.0000001401,111322.28
223000,2729,47271,5.46,0.0000001378,110473.10
225000,2708,47292,5.42,0.0000001422,112917.68
227000,2652,47348,5.30,0.0000001436,112961.86
229000,2732,47268,5.46,0.0000001431,115495.49
231000,2798,47202,5.60,0.0000001375,117734.43
233000,2862,47138,5.72,0.0000001412,114952.16
235000,2831,47169,5.66,0.0000001446,116473.61
237000,2908,47092,5.82,0.0000001473,118705.14
239000,2809,47191,5.62,0.0000001382,118809.38
241000,2864,47136,5.73,0.0000001415,122995.06
243000,2915,47085,5.83,0.0000001398,120543.98
245000,3011,46989,6.02,0.0000001412,123171.38
247000,2953,47047,5.91,0.0000001451,123675.03
249000,3082,46918,6.16,0.0000001384,122405.79
251000,2945,47055,5.89,0.0000001382,126048.99
253000,2976,47024,5.95,0.0000001396,125481.83
255000,3116,46884,6.23,0.0000001865,125140.83
257000,3086,46914,6.17,0.0000001386,130499.86
259000,3186,46814,6.37,0.0000001421,129026.48
261000,3129,46871,6.26,0.0000001441,131852.76
263000,3273,46727,6.55,0.0000001457,130013.32
265000,3258,46742,6.52,0.0000001395,131643.15
267000,3207,46793,6.41,0.0000001467,134416.16
269000,3178,46822,6.36,0.0000001383,134183.86
271000,3211,46789,6.42,0.0000001401,133305.54
273000,3351,46649,6.70,0.0000001388,135972.51
275000,3392,46608,6.78,0.0000001488,138131.37
277000,3343,46657,6.69,0.0000001439,136247.04
279000,3274,46726,6.55,0.0000001383,139323.87
281000,3394,46606,6.79,0.0000001396,140070.57
283000,3372,46628,6.74,0.0000001391,143101.69
285000,3443,46557,6.89,0.0000001487,140191.68
287000,3464,46536,6.93,0.0000001446,143301.58
289000,3401,46599,6.80,0.0000001418,144112.78
291000,3577,46423,7.15,0.0000001420,144523.67
293000,3486,46514,6.97,0.0000001405,145842.38
295000,3598,46402,7.20,0.0000001424,147021.06
297000,3583,46417,7.17,0.0000001405,149581.35
299000,3628,46372,7.26,0.0000001436,150881.83
301000,3672,46328,7.34,0.0000001473,151627.71
303000,3685,46315,7.37,0.0000001414,152105.99
305000,3603,46397,7.21,0.0000001430,151513.45
307000,3694,46306,7.39,0.0000001731,153316.96
309000,3758,46242,7.52,0.0000001418,152239.56
311000,3731,46269,7.46,0.0000001443,155599.47
313000,3724,46276,7.45,0.0000001420,154904.59
315000,3825,46175,7.65,0.0000001438,154889.42
317000,3823,46177,7.65,0.0000001510,158679.06
319000,3742,46258,7.48,0.0000001431,161703.30
321000,3843,46157,7.69,0.0000001441,163430.55
323000,3923,46077,7.85,0.0000001424,158489.93
325000,3863,46137,7.73,0.0000001432,161316.50
327000,3945,46055,7.89,0.0000001432,164853.11
329000,4028,45972,8.06,0.0000001447,166686.31
331000,3824,46176,7.65,0.0000001445,164188.52
333000,4011,45989,8.02,0.0000001425,166900.91
335000,4092,45908,8.18,0.0000001439,168905.09
337000,4130,45870,8.26,0.0000001937,168650.45
339000,4064,45936,8.13,0.0000001474,171109.18
341000,4095,45905,8.19,0.0000001465,169135.12
343000,3977,46023,7.95,0.0000001441,171038.01
345000,4082,45918,8.16,0.0000001445,172383.28
347000,4044,45956,8.09,0.0000001482,173883.54
349000,4089,45911,8.18,0.0000001463,171929.22
351000,4199,45801,8.40,0.0000001451,176503.09
353000,4213,45787,8.43,0.0000001452,177862.10
355000,4194,45806,8.39,0.0000001446,176607.47
357000,4264,45736,8.53,0.0000001518,178573.72
359000,4295,45705,8.59,0.0000001529,182112.79
361000,4310,45690,8.62,0.0000001454,182039.57
363000,4493,45507,8.99,0.0000001536,181554.32
365000,4406,45594,8.81,0.0000001450,184565.14
367000,4210,45790,8.42,0.0000001471,179829.37
369000,4296,45704,8.59,0.0000001479,183541.98
371000,4403,45597,8.81,0.0000001452,182647.81
373000,4461,45539,8.92,0.0000001484,186540.99
375000,4402,45598,8.80,0.0000001495,190152.87
377000,4478,45522,8.96,0.0000001456,188893.73
379000,4587,45413,9.17,0.0000001478,187531.24
381000,4550,45450,9.10,0.0000001470,189284.23
383000,4501,45499,9.00,0.0000001477,189224.12
385000,4531,45469,9.06,0.0000001469,192309.71
387000,4601,45399,9.20,0.0000001461,191673.31
389000,4649,45351,9.30,0.0000001465,194265.09
391000,4628,45372,9.26,0.0000001511,193125.89
393000,4758,45242,9.52,0.0000001495,196190.74
395000,4617,45383,9.23,0.0000001491,201495.37
397000,4724,45276,9.45,0.0000001475,199729.93
399000,4751,45249,9.50,0.0000001507,196393.26
401000,4851,45149,9.70,0.0000001500,201174.79
403000,4755,45245,9.51,0.0000001477,201269.89
405000,4884,45116,9.77,0.0000002045,204094.05
407000,4762,45238,9.52,0.0000001589,203056.55
409000,4847,45153,9.69,0.0000001586,202961.07
411000,4955,45045,9.91,0.0000001581,205492.77
413000,4967,45033,9.93,0.0000001566,204877.09
415000,4988,45012,9.98,0.0000001508,206760.22
417000,4920,45080,9.84,0.0000001586,207769.39
419000,4953,45047,9.91,0.0000001553,206494.34
421000,4958,45042,9.92,0.0000001687,211170.69
423000,5044,44956,10.09,0.0000001470,212282.96
425000,5143,44857,10.29,0.0000001485,211486.94
427000,5088,44912,10.18,0.0000001508,213692.89
429000,5183,44817,10.37,0.0000001501,212689.39
431000,5162,44838,10.32,0.0000001498,215845.80
433000,5096,44904,10.19,0.0000001510,216654.55
435000,5085,44915,10.17,0.0000001552,215834.30
437000,5187,44813,10.37,0.0000001559,220895.54
439000,5266,44734,10.53,0.0000001497,220517.68
441000,5187,44813,10.37,0.0000001500,221658.99
443000,5125,44875,10.25,0.0000001481,222534.42
445000,5351,44649,10.70,0.0000001501,225095.15
447000,5255,44745,10.51,0.0000001519,220434.66
449000,5418,44582,10.84,0.0000001955,223133.48
451000,5297,44703,10.59,0.0000001682,223833.94
453000,5364,44636,10.73,0.0000001589,226305.38
455000,5391,44609,10.78,0.0000001553,227810.94
457000,5416,44584,10.83,0.0000001589,225677.38
459000,5459,44541,10.92,0.0000001515,229162.09
461000,5366,44634,10.73,0.0000001487,228866.79
463000,5296,44704,10.59,0.0000001487,229898.06
465000,5534,44466,11.07,0.0000001514,230387.41
467000,5568,44432,11.14,0.0000001640,235875.27
469000,5529,44471,11.06,0.0000001613,234425.92
471000,5521,44479,11.04,0.0000001530,233362.79
473000,5472,44528,10.94,0.0000001549,235468.55
475000,5533,44467,11.07,0.0000001513,236134.12
477000,5590,44410,11.18,0.0000001516,238401.24
479000,5715,44285,11.43,0.0000001510,237984.54
481000,5656,44344,11.31,0.0000001533,241853.31
483000,5563,44437,11.13,0.0000001675,238851.95
485000,5748,44252,11.50,0.0000001612,246175.83
487000,5652,44348,11.30,0.0000001593,245933.83
489000,5900,44100,11.80,0.0000001633,243848.28
491000,5777,44223,11.55,0.0000001506,244981.15
493000,5785,44215,11.57,0.0000001509,250247.65
495000,5908,44092,11.82,0.0000001537,247449.87
497000,5708,44292,11.42,0.0000001526,246188.36
499000,5907,44093,11.81,0.0000001681,247902.42
501000,5866,44134,11.73,0.0000001560,249964.25
503000,5863,44137,11.73,0.0000001625,250568.93
505000,5854,44146,11.71,0.0000001537,251903.08
507000,5962,44038,11.92,0.0000001518,253635.83
509000,6017,43983,12.03,0.0000001562,249123.06
511000,5949,44051,11.90,0.0000001517,255317.34
513000,5878,44122,11.76,0.0000002128,255671.00
515000,5974,44026,11.95,0.0000001705,259313.82
517000,6081,43919,12.16,0.0000001640,259794.59
519000,5965,44035,11.93,0.0000001687,260242.50
521000,6153,43847,12.31,0.0000001521,261835.03
523000,6170,43830,12.34,0.0000001618,260245.10
525000,6169,43831,12.34,0.0000001573,261479.19
527000,6198,43802,12.40,0.0000001643,259758.83
529000,6178,43822,12.36,0.0000001546,263783.45
531000,6209,43791,12.42,0.0000001532,266313.00
533000,6131,43869,12.26,0.0000001616,262303.33
535000,6323,43677,12.65,0.0000001554,270512.70
537000,6228,43772,12.46,0.0000001535,266274.37
539000,6309,43691,12.62,0.0000001526,269550.02
541000,6482,43518,12.96,0.0000001552,270236.36
543000,6342,43658,12.68,0.0000001547,268598.83
545000,6367,43633,12.73,0.0000001542,273139.78
547000,6384,43616,12.77,0.0000001573,272967.64
549000,6376,43624,12.75,0.0000001558,278930.22
551000,6432,43568,12.86,0.0000001536,273559.08
553000,6471,43529,12.94,0.0000001574,276481.09
555000,6383,43617,12.77,0.0000001577,278016.53
557000,6486,43514,12.97,0.0000001545,277309.59
559000,6561,43439,13.12,0.0000001592,277483.78
561000,6420,43580,12.84,0.0000001544,280422.76
563000,6653,43347,13.31,0.0000001543,278206.29
565000,6646,43354,13.29,0.0000001642,278660.59
567000,6676,43324,13.35,0.0000001557,287538.76
569000,6695,43305,13.39,0.0000001568,282988.97
571000,6573,43427,13.15,0.0000001564,283134.38
573000,6699,43301,13.40,0.0000001568,287869.21
575000,6700,43300,13.40,0.0000001590,290044.89
577000,6621,43379,13.24,0.0000001583,290570.70
579000,6706,43294,13.41,0.0000001657,289300.46
581000,6539,43461,13.08,0.0000001707,292792.67
583000,6846,43154,13.69,0.0000001679,292382.10
585000,6837,43163,13.67,0.0000001558,296249.75
587000,6776,43224,13.55,0.0000001598,293159.41
589000,6743,43257,13.49,0.0000001560,297717.40
591000,6799,43201,13.60,0.0000001616,296496.04
593000,6986,43014,13.97,0.0000001649,292342.48
595000,7009,42991,14.02,0.0000001641,295060.90
597000,6897,43103,13.79,0.0000001588,298629.47
599000,6962,43038,13.92,0.0000001576,303844.00
601000,6821,43179,13.64,0.0000001613,296747.15
603000,6965,43035,13.93,0.0000001588,297187.14
605000,7047,42953,14.09,0.0000001561,302184.54
607000,6919,43081,13.84,0.0000001607,301279.60
609000,7026,42974,14.05,0.0000001676,304658.01
611000,7085,42915,14.17,0.0000001617,307066.16
613000,7146,42854,14.29,0.0000001597,305360.75
615000,7098,42902,14.20,0.0000001678,306951.21
617000,7128,42872,14.26,0.0000001614,311051.07
619000,7061,42939,14.12,0.0000001614,310134.62
621000,7115,42885,14.23,0.0000001576,311322.07
623000,7193,42807,14.39,0.0000001684,309523.16
625000,7145,42855,14.29,0.0000001593,313368.88
627000,7241,42759,14.48,0.0000001661,313150.13
629000,7245,42755,14.49,0.0000001629,316947.61
631000,7254,42746,14.51,0.0000001592,312967.06
633000,7275,42725,14.55,0.0000001589,317401.43
635000,7336,42664,14.67,0.0000001583,317616.65
637000,7231,42769,14.46,0.0000001582,315406.31
639000,7415,42585,14.83,0.0000001617,315592.95
641000,7330,42670,14.66,0.0000001602,317997.77
643000,7290,42710,14.58,0.0000001587,320404.71
645000,7510,42490,15.02,0.0000001607,323207.21
647000,7418,42582,14.84,0.0000001890,319330.72
649000,7448,42552,14.90,0.0000001602,327324.86
651000,7411,42589,14.82,0.0000001627,321747.73
653000,7558,42442,15.12,0.0000001613,328984.51
655000,7637,42363,15.27,0.0000001657,328422.00
657000,7659,42341,15.32,0.0000001690,334670.45
659000,7596,42404,15.19,0.0000001662,330621.94
661000,7405,42595,14.81,0.0000001648,329652.95
663000,7629,42371,15.26,0.0000001556,328401.73
665000,7738,42262,15.48,0.0000001658,333007.03
667000,7649,42351,15.30,0.0000001622,332351.58
669000,7690,42310,15.38,0.0000001687,331509.89
671000,7599,42401,15.20,0.0000001700,336762.69
673000,7710,42290,15.42,0.0000001728,333734.46
675000,7715,42285,15.43,0.0000001626,338157.71
677000,7873,42127,15.75,0.0000001575,340216.99
679000,7819,42181,15.64,0.0000001727,340311.09
681000,7880,42120,15.76,0.0000001731,340685.58
683000,7982,42018,15.96,0.0000001710,342358.66
685000,7832,42168,15.66,0.0000001575,342923.59
687000,7855,42145,15.71,0.0000001609,342679.45
689000,8089,41911,16.18,0.0000001599,341759.93
691000,8084,41916,16.17,0.0000001609,345746.74
693000,7985,42015,15.97,0.0000001697,344736.43
695000,7843,42157,15.69,0.0000001710,345562.83
697000,7999,42001,16.00,0.0000001592,351707.53
699000,8046,41954,16.09,0.0000001614,350486.23
701000,7936,42064,15.87,0.0000001632,355254.95
703000,7975,42025,15.95,0.0000001650,352282.49
705000,8144,41856,16.29,0.0000001713,350187.89
707000,7982,42018,15.96,0.0000001597,351623.43
709000,8164,41836,16.33,0.0000001580,355427.07
711000,8261,41739,16.52,0.0000001576,354647.12
713000,8206,41794,16.41,0.0000001580,356384.26
715000,8188,41812,16.38,0.0000001661,354160.16
