N,Time_ns
2,1953.34
3,1429.07
4,1366.42
5,1492.76
6,1504.91
7,1516.6
8,1591.6
9,1524.36
10,1620.82
11,1659.39
12,1721.44
13,1630.7
14,1609.91
15,1786.19
16,1959.78
17,1931.14
18,1966.64
19,1997.38
20,2062.94
21,2142.13
