N,Time_ns
2,1652.14
3,1205.16
4,1095.5
5,1138.17
6,1198.64
7,1166.36
8,1252.39
9,1127.52
10,1274.89
11,1267.18
12,1309.85
13,1398.84
14,1309.7
15,1344.25
16,1343.96
17,1362.15
18,1428.46
19,1487.11
20,1547.97
21,1673.25
