N,Time_ns
2,1748.57
3,1352.64
4,1264.05
5,1294.01
6,1295.2
7,1371.32
8,1355.04
9,1492.06
10,1460.59
11,1422.87
12,1484.42
13,1539.36
14,1549.16
15,1637.39
16,1685.93
17,1753.93
18,1610.99
19,1657.16
20,1625.97
21,1668.68
